project_id,project_name,source_state,source_district,source_place,old_latitude,old_longitude,new_latitude,new_longitude,old_coordinate_source,new_coordinate_source,coordinate_status,location_resolution_level,geocoding_confidence,state_match,district_match,validation_status,coordinate_changed,change_reason
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Andhra Pradesh,YSR Kadapa,Kadapa Airport Runway & Terminal,14.51,78.7725,14.51,78.7725,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Kadapa Airport Runway & Terminal)
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Andhra Pradesh,NTR,"Vijayawada International Airport Terminal, Gannavaram",16.53,80.7968,16.53,80.7968,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Vijayawada International Airport Terminal, Gannavaram)"
701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Andhra Pradesh,East Godavari,Rajahmundry Airport Terminal,17.1104,81.8182,17.1104,81.8182,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Rajahmundry Airport Terminal)
706724,Guwahati Airport New Integrated Terminal Building Construction Project,Assam,Kamrup Metropolitan,"Lokpriya Gopinath Bordoloi International Airport, Guwahati",26.1061,91.5859,26.1061,91.5859,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Lokpriya Gopinath Bordoloi International Airport, Guwahati)"
612183,Development of New Civil Enclave at Bihta,Bihar,Patna,Bihta Air Force Station Civil Enclave Airport,25.5683,84.8778,25.5683,84.8778,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Bihta Air Force Station Civil Enclave Airport)
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,Bihar,Darbhanga,Darbhanga Airport Civil Enclave,26.195,85.918,26.195,85.918,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Darbhanga Airport Civil Enclave)
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Bihar,Patna,"Jay Prakash Narayan Airport Terminal, Patna",25.5913,85.088,25.5913,85.088,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Jay Prakash Narayan Airport Terminal, Patna)"
701105,Goa Airport Terminal Building Extension Project,Goa,South Goa,Dabolim International Airport Terminal,15.3808,73.8314,15.3808,73.8314,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Dabolim International Airport Terminal)
619054,Development of Keshod Airport.,Gujarat,Junagadh,"Keshod Airport Development, AAI",21.3171,70.2694,21.3171,70.2694,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Keshod Airport Development, AAI)"
701126,"Development of Dholera International Greenfield Airport , Gujarat",Gujarat,Ahmedabad,Dholera International Airport Greenfield Site,22.25,72.19,22.25,72.19,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Dholera International Airport Greenfield Site)
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Jammu and Kashmir,Jammu,"Jammu Airport New Terminal Complex, Tawi River",32.6891,74.8374,32.6891,74.8374,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Jammu Airport New Terminal Complex, Tawi River)"
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Karnataka,Dharwad,Hubballi Airport New Terminal,15.3617,75.0849,15.3617,75.0849,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,Known verified facility (Hubballi Airport New Terminal)
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Karnataka,Belagavi,"Belagavi Airport Terminal Works, AAI",15.8593,74.6183,15.8593,74.6183,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Belagavi Airport Terminal Works, AAI)"
612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Kerala,Malappuram,"Calicut International Airport RESA, Karipur",11.1369,75.9553,11.1369,75.9553,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Calicut International Airport RESA, Karipur)"
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Leh,"Kushok Bakula Rimpochee Airport Terminal, Leh",34.1359,77.5465,34.1359,77.5465,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Kushok Bakula Rimpochee Airport Terminal, Leh)"
706718,C/o NITB Imphal Airport,Manipur,Imphal West,Bir Tikendrajit Imphal International Airport Terminal,24.76,93.8967,24.76,93.8967,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Bir Tikendrajit Imphal International Airport Terminal)
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL","Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",Raigad,Navi Mumbai International Airport & JNPT,18.99,73.07,18.5158,73.1822,verified_city,verified_city,exact,facility,high,True,True,VALIDATED,True,Matched infrastructure site keyword in Raigad
618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Rajasthan,Bundi,Bundi-Kota Greenfield Airport,25.4411,75.6411,25.4411,75.6411,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Bundi-Kota Greenfield Airport)
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Rajasthan,Jodhpur,Jodhpur Airport New Passenger Terminal,26.2511,73.0489,26.2511,73.0489,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Jodhpur Airport New Passenger Terminal)
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Rajasthan,Udaipur,"Maharana Pratap Airport Terminal, Dabok",24.6177,73.8961,24.6177,73.8961,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Maharana Pratap Airport Terminal, Dabok)"
612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Sikkim,Pakyong,Pakyong Greenfield Airport Basic Strip & Drainage,27.234,88.5878,27.234,88.5878,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Pakyong Greenfield Airport Basic Strip & Drainage)
611602,"Modernization of Chennai Airport, Phase II, Part 2",Tamil Nadu,Chennai,Chennai International Airport Modernization Phase II,12.9941,80.1709,12.9941,80.1709,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Chennai International Airport Modernization Phase II)
701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Uttar Pradesh,Varanasi,"Lal Bahadur Shastri International Airport, Babatpur",25.4524,82.8593,25.4524,82.8593,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,"Known verified facility (Lal Bahadur Shastri International Airport, Babatpur)"
701122,Development of New Integrated Civil Enclave at Agra Airport,Uttar Pradesh,Agra,Agra Airport New Integrated Civil Enclave,27.1558,77.9609,27.1558,77.9609,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Agra Airport New Integrated Civil Enclave)
611495,Development of New Civil Enclave at Bagdogra Airport,West Bengal,Darjeeling,Bagdogra Airport Civil Enclave,26.6812,88.3286,26.6812,88.3286,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (Bagdogra Airport Civil Enclave)
612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",West Bengal,North 24 Parganas,NSCBI Airport Kolkata Secondary Runway,22.6547,88.4467,22.6547,88.4467,verified_facility,verified_facility,exact,project_site,high,True,True,VALIDATED,False,Known verified facility (NSCBI Airport Kolkata Secondary Runway)
615820,TIKAK EXTENSION OCP,Assam,Tinsukia,"Tikak Colliery, Margherita",27.28,95.68,27.28,95.68,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Tikak Colliery, Margherita)"
615821,TIRAP OCP,Assam,Tinsukia,"Tirap Colliery, Margherita",27.29,95.71,27.29,95.71,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Tirap Colliery, Margherita)"
400144,PORDA CHIMTAPANI OCP [10 MTY],Chhattisgarh,Raigarh,"Porda Chimtapani OCP, SECL",22.1,83.25,22.1,83.25,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Porda Chimtapani OCP, SECL)"
400149,BAROUD OC EXPANSION [3.0-10.0M,Chhattisgarh,Raigarh,"Baroud OCP, SECL",22.15,83.28,22.15,83.28,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Baroud OCP, SECL)"
400354,DIPKA EXPANSION OCP [40 MTY],Chhattisgarh,Korba,"Dipka OCP Coal Mine, SECL",22.3167,82.55,22.3167,82.55,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Dipka OCP Coal Mine, SECL)"
400424,GEVRA OC [70 MTY],Chhattisgarh,Korba,"Gevra OCP Coal Mine, SECL",22.3333,82.5833,22.3333,82.5833,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Gevra OCP Coal Mine, SECL)"
613798,AMERA OC RCE [1.0 MTY],Chhattisgarh,Surajpur,"Amera, Amgaon & Jagannathpur Coalfields",23.22,82.86,23.22,82.86,verified_city,verified_city,exact,city,high,True,True,VALIDATED,False,Matched infrastructure site keyword in Surajpur
613799,AMGAON OC RCE [1.0 MTY],Chhattisgarh,Surajpur,"Amera, Amgaon & Jagannathpur Coalfields",23.22,82.86,23.220175,82.860451,verified_city,verified_city,exact,city,high,True,True,VALIDATED,True,Matched infrastructure site keyword in Surajpur
613800,JAGANNATHPUR OC RCE PROJECT,Chhattisgarh,Bilaspur,SECL Headquarters & Bilaspur Railway Zone,22.0797,82.1409,22.0797,82.1409,verified_city,verified_city,exact,city,high,True,True,VALIDATED,False,Matched infrastructure site keyword in Bilaspur
613801,MAHAMAYA OCP [1.50 MTY],Chhattisgarh,Surajpur,"Amera, Amgaon & Jagannathpur Coalfields",23.22,82.86,23.220447,82.86006,verified_city,verified_city,exact,facility,high,True,True,VALIDATED,True,Matched infrastructure site keyword in Surajpur
615191,KATKONA RO UG MINE,Chhattisgarh,Bilaspur,SECL Headquarters & Bilaspur Railway Zone,22.0797,82.1409,22.079875,82.141347,verified_city,verified_city,exact,facility,high,True,True,VALIDATED,True,Matched infrastructure site keyword in Bilaspur
616234,PELMA OC MDO,Chhattisgarh,Raigarh,"Pelma OCP MDO, SECL",22.18,83.35,22.18,83.35,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Pelma OCP MDO, SECL)"
617287,KUSMUNDA OC EXPANSION PROJECT,Chhattisgarh,Korba,"Kusmunda OCP Coal Mine, SECL",22.32,82.68,22.32,82.68,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Kusmunda OCP Coal Mine, SECL)"
617288,MANIKPUR OC EXPANSION PROJECT,Chhattisgarh,Korba,"Manikpur OCP Coal Mine, SECL",22.34,82.72,22.34,82.72,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Manikpur OCP Coal Mine, SECL)"
619171,RPR FOR DURGAPUR OCP 10 MTY,Chhattisgarh,Korba,"Gevra, Dipka, Kusmunda Mega Coalfields (SECL)",22.3595,82.7501,22.3595,82.7501,verified_city,verified_city,exact,facility,high,True,True,VALIDATED,False,Matched infrastructure site keyword in Korba
619172,MADANNAGAR OCP 12 MTY - MDO,Chhattisgarh,Surajpur,"Amera, Amgaon & Jagannathpur Coalfields",23.22,82.86,23.220271,82.859609,verified_city,verified_city,exact,facility,high,True,True,VALIDATED,True,Matched infrastructure site keyword in Surajpur
400018,HURA C OCP,Jharkhand,Godda,"Hura C OCP, Rajmahal Area",25.04,87.35,25.04,87.35,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Hura C OCP, Rajmahal Area)"
400073,KONAR EXPANSION OCP,Jharkhand,Bokaro,"Konar Expansion OCP, B&K Area",23.78,85.92,23.78,85.92,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Konar Expansion OCP, B&K Area)"
400074,KARO EXPANSION OCP,Jharkhand,Bokaro,"Karo Expansion OCP, B&K Area",23.77,85.95,23.77,85.95,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Karo Expansion OCP, B&K Area)"
400136,SANGHMITRA OC,Jharkhand,Chatra,"Sanghmitra OCP, North Karanpura",23.85,85.05,23.85,85.05,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Sanghmitra OCP, North Karanpura)"
400138,CHANDRAGUPT OCP,Jharkhand,Chatra,"Chandragupt OCP, North Karanpura",23.83,85.02,23.83,85.02,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Chandragupt OCP, North Karanpura)"
400139,KOTRE BASANTPUR PACHMO OCP,Jharkhand,Ramgarh,Kotre Basantpur Pachmo OCP,23.63,85.52,23.63,85.52,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,Known verified facility (Kotre Basantpur Pachmo OCP)
400142,Pachwara South Coal Block,Jharkhand,Pakur,Pachwara South Coal Block,24.58,87.52,24.58,87.52,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,Known verified facility (Pachwara South Coal Block)
400150,RPR MAGADH EXP OCP,Jharkhand,Chatra,"Magadh Expansion OCP, CCL",23.88,85.0,23.88,85.0,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Magadh Expansion OCP, CCL)"
400151,NORTH URIMARI EXPANSION OCP,Jharkhand,Hazaribagh,North Urimari Expansion OCP,23.7,85.32,23.7,85.32,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,Known verified facility (North Urimari Expansion OCP)
400153,EPR ROHINI - KARKETTA OCP,Jharkhand,Hazaribagh,North Urimari & Rohini-Karketta Coal Mining Node,23.99,85.36,23.99,85.36,verified_city,verified_city,exact,facility,high,True,True,VALIDATED,False,Matched infrastructure site keyword in Hazaribagh
400154,EPR PUNDI OCP,Jharkhand,Ramgarh,"Pundi OCP, Kuju Area",23.72,85.5,23.72,85.5,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Pundi OCP, Kuju Area)"
400155,EPR ASHOK OC,Jharkhand,Chatra,"Ashok OCP, Piparwar Area",23.82,85.03,23.82,85.03,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Ashok OCP, Piparwar Area)"
400156,EPR AMRAPALI OCP,Jharkhand,Chatra,"Amrapali OCP, CCL",23.87,85.01,23.87,85.01,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Amrapali OCP, CCL)"
400160,RAJRAPPA RCE OCP,Jharkhand,Ramgarh,"Rajrappa RCE OCP, CCL",23.62,85.71,23.62,85.71,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Rajrappa RCE OCP, CCL)"
400172,CHITRA EAST OC,Jharkhand,Deoghar,"Chitra East OCP, SP Mines",24.12,86.85,24.12,86.85,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Chitra East OCP, SP Mines)"
400352,JHARKHAND-LAIYO OCP,Jharkhand,Ranchi,Ranchi Infrastructure Hub,23.3441,85.3096,23.3441,85.3096,verified_district,verified_district,approximate,district,medium,True,True,APPROXIMATE,False,Preserved validated district location
400425,MOONIDIH XV SEAM UG,Jharkhand,Dhanbad,BCCL Jharia Coking Coal Mega Extraction,23.74,86.41,23.74,86.41,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,Preserved validated district location
611017,2.5 MTPA PATHERDIH NLW WASHERY,Jharkhand,Dhanbad,"Patherdih NLW Coal Washery, BCCL",23.68,86.43,23.68,86.43,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,"Known verified facility (Patherdih NLW Coal Washery, BCCL)"
611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Jharkhand,Dhanbad,BCCL Jharia Coking Coal Mega Extraction,23.74,86.41,23.740175,86.410453,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,True,Preserved validated district location
613808,MURAIDIH UG PROJECT,Jharkhand,Dhanbad,BCCL Jharia Coking Coal Mega Extraction,23.74,86.41,23.740447,86.410061,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,True,Preserved validated district location
615349,TAPIN SOUTH EXPN,Jharkhand,Ramgarh,Tapin South Expansion OCP,23.82,85.54,23.82,85.54,verified_facility,verified_facility,exact,facility,high,True,True,VALIDATED,False,Known verified facility (Tapin South Expansion OCP)
615822,SIRKA OC,Jharkhand,Bokaro,Bokaro Infrastructure Hub,23.6693,86.1511,23.6693,86.1511,verified_district,verified_district,approximate,district,medium,True,True,APPROXIMATE,False,Preserved validated district location
