sl_no,ministry,sector,project_name,agency,project_id,legacy_ocms_code,pmgid,state,approval_date_mm_yyyy,start_date_mm_yyyy,original_target_doc_mm_yyyy,revised_target_doc_mm_yyyy,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_percent,report_month,source_pdf_page
1,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,N04000106,-,Andhra Pradesh,03/2023,01/2024,01/2026,07/2026,265.91,265.91,129.07,65.0,April 2026,55
2,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,N04000091,4353,Andhra Pradesh,06/2020,09/2020,09/2022,10/2026,611.8,611.8,523.14,87.2,April 2026,55
3,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,N04000103,-,Andhra Pradesh,12/2022,08/2023,08/2025,06/2026,347.15,347.15,170.79,90.0,April 2026,55
4,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,N04000083,9925,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2627.39,98.0,April 2026,55
5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,-,9918,Bihar,08/2024,04/2025,03/2027,-,1413.0,1413.0,7.64,1.28,April 2026,55
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,N04000112,9917,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,374.49,65.0,April 2026,55
7,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,N04000082,4356,Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1200.67,98.22,April 2026,55
8,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],701105,N04000095,4831,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,100.0,April 2026,55
9,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of Keshod Airport.,Airport Authority of India [AAI],619054,-,-,Gujarat,01/2024,07/2025,01/2027,-,363.1,363.1,87.88,33.13,April 2026,55
10,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,N04000099,3366,Gujarat,06/2022,07/2022,06/2026,06/2026,1305.0,1551.0,896.82,82.0,April 2026,55
11,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,N04000107,9921,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,861.37,319.5,51.35,April 2026,55
12,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],612787,N04000108,-,Karnataka,06/2023,01/2024,01/2026,06/2026,320.47,320.47,148.68,77.0,April 2026,55
